[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/langcodes/data_dicts.py first seen with mtime 1639175004.4964616
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/template/backends/__init__.py first seen with mtime 1647540508.0898893
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/spacy/cli/info.py first seen with mtime 1639177569.6261454
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/zipfile.py first seen with mtime 1620062241.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/fft/__init__.py first seen with mtime 1639175002.5424469
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/random/_philox.cpython-39-darwin.so first seen with mtime 1639175002.5544648
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/lib/ufunclike.py first seen with mtime 1639175002.5366895
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/random/_pcg64.cpython-39-darwin.so first seen with mtime 1639175002.552619
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/packaging/utils.py first seen with mtime 1639175004.4781556
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/requests/utils.py first seen with mtime 1639175004.4269817
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/polynomial/legendre.py first seen with mtime 1639175002.569539
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/utils/regex_helper.py first seen with mtime 1647540508.0997264
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/jinja2/parser.py first seen with mtime 1639175004.5269663
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/context.py first seen with mtime 1620062244.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/pydantic/error_wrappers.cpython-39-darwin.so first seen with mtime 1639175004.002289
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/core/_add_newdocs_scalars.py first seen with mtime 1639175002.3225775
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/spacy/pipeline/__init__.py first seen with mtime 1639177569.691639
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/shims/__init__.py first seen with mtime 1639175004.270319
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/sqlite3/dbapi2.py first seen with mtime 1620062243.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/multiprocessing/reduction.py first seen with mtime 1620062244.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/logging/__init__.py first seen with mtime 1620062243.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/spacy/cli/download.py first seen with mtime 1639177569.6258433
